slide_id,patient_id,file_name,path,file_size,read_ok,features_shape,coords_shape,coords_key,n_patches,feature_dim,has_coords,error
TCGA-VQ-A8P8-01Z-00-DX1.85D05076-70BE-46A6-B866-94846CD22670,TCGA-VQ-A8P8,TCGA-VQ-A8P8-01Z-00-DX1.85D05076-70BE-46A6-B866-94846CD22670.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8P8-01Z-00-DX1.85D05076-70BE-46A6-B866-94846CD22670.h5,97307032,True,"[1, 15613, 1536]","[1, 15613, 2]",coords,15613,1536,True,
TCGA-VQ-A8PB-01Z-00-DX1.FAB74FD6-C7AB-422F-ACA9-2DB0ACEC23E5,TCGA-VQ-A8PB,TCGA-VQ-A8PB-01Z-00-DX1.FAB74FD6-C7AB-422F-ACA9-2DB0ACEC23E5.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8PB-01Z-00-DX1.FAB74FD6-C7AB-422F-ACA9-2DB0ACEC23E5.h5,111652504,True,"[1, 17915, 1536]","[1, 17915, 2]",coords,17915,1536,True,
TCGA-VQ-A8PC-01Z-00-DX1.03BD1821-DB4A-4FAB-AA6A-A8C91E6215F4,TCGA-VQ-A8PC,TCGA-VQ-A8PC-01Z-00-DX1.03BD1821-DB4A-4FAB-AA6A-A8C91E6215F4.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8PC-01Z-00-DX1.03BD1821-DB4A-4FAB-AA6A-A8C91E6215F4.h5,88361856,True,"[1, 14177, 1536]","[1, 14177, 2]",coords,14177,1536,True,
TCGA-VQ-A8PD-01Z-00-DX1.A9B601CB-83AA-4F0C-BB6D-DD88455FDEE9,TCGA-VQ-A8PD,TCGA-VQ-A8PD-01Z-00-DX1.A9B601CB-83AA-4F0C-BB6D-DD88455FDEE9.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8PD-01Z-00-DX1.A9B601CB-83AA-4F0C-BB6D-DD88455FDEE9.h5,87787200,True,"[1, 14085, 1536]","[1, 14085, 2]",coords,14085,1536,True,
TCGA-VQ-A8PE-01Z-00-DX1.94480121-9AB9-490F-8E7F-77260C6DE0D5,TCGA-VQ-A8PE,TCGA-VQ-A8PE-01Z-00-DX1.94480121-9AB9-490F-8E7F-77260C6DE0D5.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8PE-01Z-00-DX1.94480121-9AB9-490F-8E7F-77260C6DE0D5.h5,93027984,True,"[1, 14926, 1536]","[1, 14926, 2]",coords,14926,1536,True,
TCGA-VQ-A8PF-01Z-00-DX1.D0353D95-5F56-4D33-B3DA-08AF9574334D,TCGA-VQ-A8PF,TCGA-VQ-A8PF-01Z-00-DX1.D0353D95-5F56-4D33-B3DA-08AF9574334D.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8PF-01Z-00-DX1.D0353D95-5F56-4D33-B3DA-08AF9574334D.h5,76224312,True,"[1, 12229, 1536]","[1, 12229, 2]",coords,12229,1536,True,
TCGA-VQ-A8PH-01Z-00-DX1.79A66B42-B6CF-49F9-9204-DC21A57DAFF6,TCGA-VQ-A8PH,TCGA-VQ-A8PH-01Z-00-DX1.79A66B42-B6CF-49F9-9204-DC21A57DAFF6.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8PH-01Z-00-DX1.79A66B42-B6CF-49F9-9204-DC21A57DAFF6.h5,126228240,True,"[1, 20254, 1536]","[1, 20254, 2]",coords,20254,1536,True,
TCGA-VQ-A8PJ-01Z-00-DX1.19F00379-C001-49D2-9B22-6AE0791C8488,TCGA-VQ-A8PJ,TCGA-VQ-A8PJ-01Z-00-DX1.19F00379-C001-49D2-9B22-6AE0791C8488.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8PJ-01Z-00-DX1.19F00379-C001-49D2-9B22-6AE0791C8488.h5,52149216,True,"[1, 8365, 1536]","[1, 8365, 2]",coords,8365,1536,True,
TCGA-VQ-A8PK-01Z-00-DX1.A13BCC99-05AC-4FEC-8BA8-0EDC92EAE02B,TCGA-VQ-A8PK,TCGA-VQ-A8PK-01Z-00-DX1.A13BCC99-05AC-4FEC-8BA8-0EDC92EAE02B.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8PK-01Z-00-DX1.A13BCC99-05AC-4FEC-8BA8-0EDC92EAE02B.h5,113067200,True,"[1, 18142, 1536]","[1, 18142, 2]",coords,18142,1536,True,
TCGA-VQ-A8PM-01Z-00-DX1.49FE7D00-2547-4936-803D-F4421C5E5BB3,TCGA-VQ-A8PM,TCGA-VQ-A8PM-01Z-00-DX1.49FE7D00-2547-4936-803D-F4421C5E5BB3.h5,tcga_stad_uni2h/TCGA-STAD/features/TCGA-VQ-A8PM-01Z-00-DX1.49FE7D00-2547-4936-803D-F4421C5E5BB3.h5,116853744,True,"[1, 18750, 1536]","[1, 18750, 2]",coords,18750,1536,True,
