model,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,tp,fp,n
M3_ebv,0.22,0.020317629314169108,-0.16671102830272377,0.0,7,4,289
M3_ebv,0.23,0.02008717925672943,-0.18186311957938256,0.0,7,4,289
M3_ebv,0.24,0.019850664724093973,-0.19741395010016388,0.0,7,4,289
M3_ebv,0.25,0.0196078431372549,-0.2133794694348327,0.0,7,4,289
M3_ebv,0.26,0.019358458804825587,-0.22977648929206024,0.0,7,4,289
M3_ebv,0.27,0.019102242024932454,-0.2466227425700337,0.0,7,4,289
M3_ebv,0.28,0.01883890811226451,-0.2639369473279508,0.0,7,4,289
M3_ebv,0.29,0.018568156342901702,-0.28173887616355575,0.0,7,4,289
M3_ebv,0.3,0.01828966880869995,-0.30004943153732083,0.0,7,4,289
M3_ebv,0.31,0.01800310917205757,-0.3188907276465574,0.0,7,4,289
M3_ebv,0.32,0.01770812131080806,-0.33828617952371265,0.0,7,4,289
M3_ebv,0.33,0.013944120229303308,-0.3582606001136188,0.0,6,4,289
M3_ebv,0.34,0.013631120897556881,-0.3788403061759464,0.0,6,4,289
M3_ebv,0.35,0.013308490817141336,-0.40005323396326853,0.0,6,4,289
M3_ebv,0.36,0.0129757785467128,-0.42192906574394456,0.0,6,4,289
M3_ebv,0.37,0.01263250398198495,-0.4444993683748009,0.0,6,4,289
M3_ebv,0.38,0.01227815604420136,-0.46779774528407186,0.0,6,4,289
M3_ebv,0.39,0.011912190141244538,-0.49186000340348296,0.0,6,4,289
M3_ebv,0.4,0.011534025374855822,-0.5167243367935409,0.0,6,4,289
M3_ebv,0.41,0.011143041463843765,-0.5424315289425837,0.0,6,4,289
M3_ebv,0.42,0.013244242930437897,-0.569025175993318,0.0,6,3,289
M3_ebv,0.43,0.015540581557700479,-0.5965519334668851,0.0,6,2,289
M3_ebv,0.44,0.01532377656945131,-0.6250617894216509,0.0,6,2,289
M3_ebv,0.45,0.015099087763447625,-0.6546083674111355,0.0,6,2,289
M3_ebv,0.46,0.014866077149814173,-0.6852492631039343,0.0,6,2,289
M3_ebv,0.47,0.014624273682836064,-0.7170464190115556,0.0,6,2,289
